ime,pojavljanje,opis
Bedek,TH,Daru; adoptive father of Harllo Younger
Bek Okhan,MoI,"Bonecaster of the K'ron T'lan Imass, Soletaken"
Belie,CG,"Pure Forkrul Assail, lawful inquisitor"
Bell,HoC,Soldier in the Bonehunters
Bellam Nom,"TH, OST",Daru youth of House Nom; trained as a duelist under Murillio
Bellig Harn,RG,Soldier in the Bonehunters
Bellurdan Skullcrusher,"GotM, TH",Thelomen Toblakai High Mage of the Malazan Empire
Ben Adaephon Delat,"GotM, DG, MoI, HoC, BH, RG, DoD, Cp’","Seven Cities mage in the Bridgeburners, 9th Squad; also called Quick Ben"
Bendal Home,MoI,"Bonecaster of the K'ron T'lan Imass, Soletaken"
Beneth,DG,Crime lord in the otataral mining camp of Skullcup
Bent,"DG, HoC, BH,DoD, CG",Wickan cattle-dog and survivor of the Chain of Dogs
Beroke Soft Voice,"DoD, CG","T'lan Imass, of the Unbound"
Beru,CG,Lord of Storms
Bidithal,"DG, HoC",High Mage of the Whirlwind
Binadas Sengar,MT,"Tiste Edur; Third son of Tomad Sengar and Uruth, brother of Fear, Trull and Rhulad"
Biri,MT,Letherii merchant
Bivatt,RG,Atri-Peda of Eastern Army
Blend,"MoI, TH, OST",Retired Bridgeburner and partner in K'rul's Bar; Picker's lover
Blind,"GotM, DG, HoC, BH, TH",Hound of Shadow
Blistig,"DG, HoC, BH, RG, DoD, CG",Commander of the Aren Guard; later a Fist in the Bonehunters
Bluepearl,"MoI, TH",Retired Napan squad mage of the Bridgeburners and a partner in K'rul's Bar
Blues,"GotM, RotCG, SW, BB, As",Corporal in the Sixth Blade and weapons master of the Crimson Guard
Borduke,"HoC, BH",Sergeant in the Bonehunters
Bottle,"HoC, BH, RG, DoD, CG",Squad mage in the Bonehunters
Bowl,"HoC, BH, RG",Soldier in the Bonehunters
Borrug,HoC,Assistant to Slavemaster Silgar
Braven Tooth,"HoC, BH, RotCG",Master Sergeant in Malaz City garrison
Brayderal,DoD,Child in the Snake
Bre'neigan,"DoD, CG",K'Chain Che'Malle J'an Sentinel
Breath,DoD,Wanderer
Brethless,"BH, RG, DoD, CG",Corporal in the Bonehunters; twin of Touchy
Brevity,"RG, DoD, CG",An ex-con and captain of the Letherii islanders led by Yan Tovis
Brohl Handar,RG,Tiste Edur overseer in Drene
Brolos Haran,DoD,T'lan Imass
Brukhalian,MoI,Mortal Sword of Fener's Reve (the Grey Swords)
Brullyg,RG,Nominal ruler of Second Maiden Fort
Bruthen Trana,"RG, CG",Tiste Edur in Rhulad's palace
Brys Beddict,"MT, RG, DoD, CG","Finadd and King's Champion, youngest of the Beddict brothers"
Bubryd,MT,Official of the Rat Catcher's Guild of Letheras
Bucklund,MoI,Sergeant in the Bridgeburners
Bugg,"MT, RG, DoD, CG","Manservant to Tehol Beddict; later Chancellor, Ceda, and Treasurer of Letheras; AKA Mael, Elder God of the sea"
Buke,MoI,Caravan guard on Genabackis
Bula,DG,Innkeeper in the otataral mining camp of Skullcup
Bult,"DG, BH, TH",Wickan commander and Coltaine's uncle
Burn,,Elder goddess of earth and former witch of the Dog Runners
Burnt,HoC,Corporal in the Bonehunters
Burnt Rope,"DoD, CG",Soldier in the Bonehunters
Buruk the Pale,MT,"Letherii merchant, employer of Seren Pedac"
Cafal,"MoI, DoD","White Face Barghast, first son of Humbrall Taur, brother of Hetan and Netok"
Caladan Brood,"GotM, MoI, TH, OST",Ascendant and powerful warlord
Calm,"HoC, CG","Pure Forkrul Assail, lawful inquisitor"
Calot,GotM,Cadre Mage in Onearm's Host
Cannig Tol,MoI,Clan leader in the Kron T'lan Imass
Cartographer,"TH, DoD, CG",Undead master of maps hitchhiking with the Trygalle Trade Guild
Chalas,MT,Letherii watchman
Challice D'Arle,"GotM, TH","Daughter of Darujhistan councilman Estraysian D'Arle, later wife to Gorlas Vidikas and called Challice Vidikas"
Chase,NoK,A garrison officer at Mock's Hold
Chaur,"BH, TH","Protégé of and Companion to Barathol Mekhar, a simpleton"
Chenned,DG,Captain in the 7th Army
Chert,GotM,Unlucky bully in Darujhistan
Chillbais,TH,Demon servant of Baruk in Darujhistan
Choram Irard,MT,Unblooded Tiste Edur
Circle Breaker,GotM,Agent of The Eel in Darujhistan.
Clasp,"DoD, CG",Corporal in the Bonehunters
Clip,"RG, TH","First Sword of Kurald Galain, claims to be Mortal Sword of Darkness"
Coll,"GotM, MoI, TH","Darujhistan drunk, later councilman"
Coltaine,DG,Wickan Fist of the Malazan 7th Army in Seven Cities
Coop,"BH, NoK",Proprietor of the Hanged Man inn
Corabb Bhilan Thenu'alas,"HoC, BH, RG, DoD, CG","Formerly second in command to Leoman of the Flails, later soldier in the Bonehunters"
Cord,"HoC, RG, DoD, CG",Sergeant in the Bonehunters
Corinn,NoK,A mage formerly in the Bridgeburners
Corlo,MT,Mage in the Crimson Guard.
Cotillion,"GotM, DG, HoC, BH, RG, TH, CG, NoK","Companion of Shadowthrone and Patron of Assassins; also called The Rope. As a mortal he was known as Dancer, led the Talon, and founded the Malazan Empire along with Kellanved."
Cowl,GotM,High Mage in the Crimson Guard
The Crippled God,"MoI, MT, RG, CG","Ascendant, also called The Chained One and The One Within, his actual name is Kaminsod"
Crokus Younghand,"GotM, DG, HoC, BH, TH","Thief in Darujhistan, also called Cutter"
Crone,"GotM, MoI, TH, CG",Great Raven and servant to Anomander Rake
Crump,"BH, RG, DoD, CG",Soldier in the Bonehunters; also known as Jamber Bole
Curdle,"BH, RG, DoD, CG","Eleint ghost, trapped in Emurlahn, freed by Apsalar, twin to Telorast"
Cuttle,"DG, HoC, BH, RG, DoD, CG",Sapper in the Bonehunters
Cynnigig,HoC,Jaghut
D'rek,"DoD, CG","Ascended goddess, the Worm of Autumn"
Damisk,HoC,Assistant to Slavemaster Silgar
Darist,HoC,Another name for Andarist
Dassem Ultor,"HoC, TH, NoK, OST","First Sword of the Malazan Empire; supposedly killed outside Y'ghatan, Seven Cities"
Dathenar Fandoris,"DoD, CG",Tiste Andii; Soletaken; Korlat's Mistress of Assassination
Dayliss,HoC,"Thelomen Toblakai woman favoured by Karsa Urlong but who had a relationship with his friend Bairoth Gild, for who she was also pregnant."
Deadsmell,"HoC, BH, RG, DoD, CG",Corporal in the Bonehunters; a necromancer
Dejim Nebrahl,BH,D'ivers T'rolbarahl of the First Empire
Delist,MT,Matron of the Temple Brothel in Letheras
Delum Thord,HoC,Thelomen Toblakai companion of Karsa Orlong and Bairoth Gild
Derudan,"GotM, TH",Witch of the T'orrud Cabal in Darujhistan; uses the warren Tennes
Desra,"TH, CG","Tiste Andii, companion of Nimander Golit, possibly Soletaken Elient"
Dessembrae,CG,Dassem Ultor in his aspect of Lord of Tears
Detoran,MoI,"Soldier in the Bridgeburners, 7th squad."
Diligence,CG,"Pure Forkrul Assail, lawful inquisitor"
Ditch,TH,"Prisoner in Dragnipur, formerly a wizard in Pale"
Doan,GotM,Hound of Shadow
Dorin Rav,"DL, DhL","Young assassin from Tali, later would take the name Dancer and then ascend to become Cotillion"
Draconus,"MoI, TH, DoD, CG","Elder God, Consort of Mother Dark, forger of Dragnipur"
Drawfirst,"RG, DoD, CG",Soldier in the Bonehunters
Duiker,"DG, MoI, TH, OST","Imperial Historian of the Malazan Empire. Following his death and resurrection at the end of the Chain of Dogs, he takes up residence in Darujhistan."
Dujek Onearm,"GotM, MoI, BH",High Fist of the Malazan Armies in the Genabackis campaign
Dunsparrow,BH,"Formerly captain in Y'Ghatan City Guard, later companion to Leoman of the Flails; sister of Whiskeyjack"
Duryl,HoC,Messenger of the Whirlwind
Ebron,"HoC, BH, RG, DoD, CG",Squad mage in the Bonehunters
Edgewalker,"BH, TH, NoK",An inhabitant of Kurald Emurlahn
Eldat Pressan,CG,Tiste Liosan
Emancipor Reese,MoI,Servant to Bauchelain and Korbal Broach
Endest Silann,TH,"A Tiste Andii mage who was around from the days of Karkhanas, and one of Anomander Rake's most trusted allies."
Enedictal,MT,Letherii mage
Enias,HoC,Tiste Liosan
Equity,CG,"Pure Forkrul Assail, lawful inquisitor"
Erekala,"DoD, CG",Commander in Perish Grey Helms
The Errant,"MT, RG, DoD, CG","Elder God, Master of the Holds; AKA Errastas, Turudal Brizad"
Estraysian D'Arle,"GotM, MoI, TH",Councilman of Darujhistan and rival of Turban Orr
Ethume,HoC,Corporal of the Whirlwind army
Exigent,CG,Watered Forkrul Assail
Ezgara Diskanar,MT,King of Letheras
Faint,"TH, DoD, CG",Trygalle Trade Guild shareholder
Faradan Sort,"BH, RG, DoD, CG",Captain (later Fist) in the Bonehunters
Farakalian,MoI,Soldier in the Grey Swords
Faro Balkat,NoK,A regular at the Hanged Man inn
Fast,DoD,Captain in the Bonehunters
Fayelle,HoC,Sorceress of the Whirlwind
Fear Sengar,"MT, RG","Tiste Edur; First son of Tomad Sengar and Uruth, brother of Trull, Binadas and Rhulad; Weapons Master of the Tribes; later one of the Hunted"
Febryl,"DG, HoC",High Mage of the Whirlwind
Felash,"DoD, CG","Fourteenth Daughter of Queen Abrastal of Bolkando, Sorceress of the Elder warren of Omtose Phellack"
Felisin Paran,"GotM, DG, HoC",Malazan noble-born; younger sister of Ganoes and Tavore Paran. She later takes up the mantle of Sha'ik Reborn.
Felisin Younger,"HoC, BH","Adopted daughter of Sha'ik Reborn, later refugee from Raraku"
Feather Witch,"MT, BH, RG, DoD",Letherii slave to Uruth
Ferrule,NoK,A member of Dassem Ultor's bodyguard
Festian,CG,Watered Forkrul Assail
Fiddler,"GotM, DG, HoC, BH, RG, DoD, CG","A sapper in the Bridgeburners and a close friend of Whiskeyjack,"
Fingers,GotM,Soldier in the Sixth Blade of the Crimson Guard
Fisher,"TH, OST","An immortal bard, also known as Fisher Kel Tath"
Fisherman,NoK,A mage on Malaz Isle
Flashwit,"HoC, RG, DoD, CG",Soldier in the Bonehunters
Freedom,CG,"Pure Forkrul Assail, lawful inquisitor"
Futhgar,BH,Corporal in Onearm's Host
Gaelar Throe,CG,Tiste Liosan
Gall,"DG, HoC, BH, DoD, CG",Warleader of the Khundryl Burned Tears
Galt,"HoC, RG, DoD",Soldier in the Bonehunters
Gamet,"GotM, HoC","Guard for the House of Paran, later Fist in the Bonehunters"
Ganath,BH,Jaghut mage
Ganoes Stabro Paran,"GotM, MoI, BH, TH, CG","Noble-born officer in the Malazan Empire; of the House of Paran, Master of the Deck of Dragons"
Ganrod,GotM,Hound of Shadow
Garath,MoI,"Large dog, companion to Lady Envy"
Gaunt-Eye,"DoD, CG",Sergeant in the Bonehunters
Gaz,TH,"Killer in Darujhistan, Soldier of Death, husband of Thordy"
Gear,"GotM, DG, TH",Hound of Shadow
Gerun Eberict,MT,Finadd in Letherii Royal Guard
Gesler,"DG, HoC, BH, RG, DoD, CG","Corporal in the Malazan Coastal Guard, later sergeant in Bonehunters"
Gethol,"MoI, BH","Formerly Herald of Hood, now Herald to the House of Chains, brother to Gothos"
Glanno Tarp,TH,Trygalle Trade Guild shareholder
Glisten,MT,Official of the Rat Catcher's Guild of Letheras
Gorlas Vidikas,"GotM, TH",Darujhistan councilman and husband to Challice D'Arle
Gothos,"DG, MT, RG, TH","Jaghut mage, father of Icarium, brother of Gethol, author of Gothos' Folly"
Gradithan,TH,Worshipper of the Crippled God
Grave,CG,"Pure Forkrul Assail, lawful inquisitor"
Green Pig,MT,Infamous mage of old in Letheras
Greyfrog,"HoC, BH",Demon
Grub,"DG, HoC, BH, RG, DoD, CG",Orphan from the Chain of Dogs; adopted by Keneb; companion to Sinn
Gruntle,"MoI, BH, TH, DoD, CG",Caravan guard on Genabackis; later Mortal Sword of Treach
Gryllen,DG,"D'ivers, assumes form of horde of rats. Also called Tide of Madness"
Gu'Rull,"DoD, CG",K'Chain Che'Malle Shi'Gal Assassin
Gullstream,"HoC, RG, DoD",Soldier in the Bonehunters
Gumble,"MoI, BH, CG","Ormulogun's critic, has the form of a frog"
Gunth Mach,"RG, DoD, CG","K'Chain Che'Malle One Daughter, onetime bodyguard to Redmask"
Gunth'an Acyl,DoD,K'Chain Che'Malle matron
Hadralt,RG,Awl warchief of Ganetok Clan
Haggraf,CG,Watered Forkrul Assail
Hairlock,GotM,Cadre Mage in Onearm's Host
Thalad the Giant,"DoD, CG",T'lan Imass
Halfpeck,MT,Avowed in the Crimson Guard
Hanako,FoL,A young Thel Akai
Handmaiden,"DoD, CG",Servant to Felash
Hanut Orr,TH,"Councilman in Darujhistan, Turban Orr's nephew"
Hanavat,"DoD, CG",Member of the Khundryl Burned Tears; wife of Warleader Gall
Hannan Mosag,"MT, RG","Tiste Edur, Warlock King of the Six Tribes, later Ceda of the Empire of Lether"
Hanno,RG,Soldier in the Bonehunters
Hanradi Khalag,"MT, BH, RG",Tiste Edur warlock
Haradas,MoI,Trygalle Trade Guild caravan master
Hareb,MoI,Noble born officer in Onearm's Host
Harlest,MT,Letherii guard
Harllo,MoI,Caravan guard on Genabackis
Harllo (Younger),TH,Child in Darujistan; son of Stonny Menackis and a Seerdomin who raped her; named after the caravan guard
Hattar,"BH, NoK",Bodyguard to Tayschrenn
Hayrith,BH,Villager in Seven Cities
Heboric Light Touch,"DG, HoC, BH, DoD, CG",Exiled Malazan historian and ex-priest of Fener; later Destriant of Treach; also known as 'Heboric Ghost Hands'
Hedge,"GotM, MoI, HoC, BH, RG, DoD, CG","Sapper in the Bridgeburners, later a ghost named Dead Hedge"
Hejun,MT,Letherii employee of Tehol Beddict
Held,"DoD, CG",Child in the Snake
Hellian,"BH, RG, DoD, CG",Sergeant in the Bonehunters
Henar Vygulf,"DoD, CG",Letharii outrider
Henarist,HoC,Sorceress of the Whirlwind
Hentos Ilm,DG,T'lan Imass Bonecaster
Hestand,CG,Watered Forkrul Assail
Hetan,"MoI, RG, DoD, CG","White Face Barghast, daughter of Humbrall Taur, sister to Cafal and Netok, mother to twins Stavi &amp; Storii (fathered by Kruppe), mother of Absi (fathered by Onos T'oolan), wife of Onos T'oolan"
Honey,"RG, DoD, CG",Soldier in the Bonehunters
Hood,"MoI, BH, RG, TH, DoD, CG",God of Death and King of High House Death; originally a Jaghut
Horult,GotM,Tiste Andii assassin-mage
Hostille Rator,RG,T'lan Imass bonecaster
Hulad,MT,Letherii slave among the Tiste Edur
Huldo,MT,Letherii restaurant proprietor
Hulbat,MT,Letherii citizen
Hull Beddict,MT,"Letherii Sentinel in the north, eldest of the Beddict brothers"
Humble Measure,"TH, OST",Ironmonger in Darujhistan
Humbrall Taur,MoI,"Warchief of the White Face Barghast, father of Hetan, Cafal and Netok"
Hunt,"RG, DoD",Soldier in the Bonehunters
Hurlochel,"MoI, BH, CG","Formerly in Caladan Brood's army, now a member of Onearm's Host"
Ibb,HoC,Soldier in the Bonehunters
Ibra Gholan,"HoC, BH",Logros T'lan Imass clanleader
Icarium,"GotM, DG, HoC, BH, RG, DoD, CG",Jhag who builds machines to measure time
Ilm Absinos,DoD,T'lan Imass
Imrahl,HoC,Warrior of the Khundryl Burned Tears
Imroth,RG,A broken T'lan Imass
Inal,MoI,Pannion Septarch of Lest
Inchers,MT,Letherii citizen
Inistal Ovan,DoD,T'lan Imass
Iparth Erule,CG,Tiste Liosan
Ipshank,SW,"Malazan, ex-priest of Fener in the lands of Fist"
Irilta,"GotM, TH",Regular at the Phoenix Inn in Darujhistan
Iron Bars,"MT, SW",Avowed in the Crimson Guard.
Irp,DG,Familiar of High Alchemist Baruk
Iskaral Pust,"DG, HoC, BH, TH",High Priest of Shadow and Magi of High House Shadow
Itkovian,MoI,"Shield Anvil of Fener. Later, ascendant worshipped in the cult of the Redeemer"
Janall,"MT, RG","Queen of Letheras, later Queen of Chains"
Janath Anar,"RG, DoD",Letherii scholar and political prisoner; later Queen of Letheras and wife of King Tehol
Jarabb,DoD,Warrior of the Khundryl Burned Tears
Jastara,"Dod, CG",Member of the Khundryl Burnt Tears
Jerlarkan,MoI,Prince and ruler of Capustan
Jhedel,NoK,An inhabitant of the Shadow Realm
Jhenna,NoK,Jaghut guardian of the Deadhouse
Jhess,CG,Queen of Weaving
Jibb,"HoC, RG",Soldier in the Bonehunters
Job Bole,MoI,Mott Irregular
Jorrick Sharplance,GotM,Crimson Guard officer
Jorrude,HoC,Tiste Liosan Senschal
Jula Bole,"TH, DoD",Retired Mott Irregular and Trygalle Trade Guild shareholder
K'azz D'Avore,"GotM, RotCG, BB, As",Prince and Commander of the Crimson Guard
K'rul,"GotM, MoI, TH, CG, OST","Elder God, the Maker of Paths"
Kadagar Fant,CG,Tiste Liosan (Soletaken Elient) Son of Light
Kadaspala,TH,Tiste Andii prisoner in Dragnipur
Kalb the Silent Hunter,"DoD, CG",T'lan Imass
Kahlt,MoI,Pannion Seerdomin
Kalam Mekhar,"GotM, DG, HoC, BH, CG",Corporal of the 9th Squad of the Bridgeburners; ex-Claw
Kallor,"GotM, MoI, TH, RotCG","High King; second-in-command of Caladan Brood's forces; immortal from the time of the Fall of the Crippled God, cursed never to ascend"
Kalt Urmanal,"DoD, CG",T'lan Imass
Kalyth,"DoD, CG",Elan; Destriant to the matron Gunth'an Acyl of the K'Chain Che'Malle
Kamist Reloe,"DG, HoC","Renegade Malazan High Mage, now a mage of the Whirlwind"
Karnadas,MoI,Destriant of Fener's Reve (the Grey Swords)
Karos Invictad,RG,Invigilator of the Patriotists in Letheras
Karpolan Demesand,"DG, BH",High Mage for the Trygalle Trade Guild
Karsa Orlong,"DG, HoC, BH, RG, TH, CG, OST","Thelomen Toblakai warrior from Northern Genabackis, sometimes called Toblakai."
Kasanal,HoC,Assassin hired by Korbolo Dom
Kedeviss,TH,"Tiste Andii, companion of Nimander Golit"
Keneb,"DG, HoC, BH, RG, DoD",Malazan captain in Seven Cities; later a Fist in the Bonehunters
Kerul,MoI,"Trader, later revealed to be the Elder God K'rull"
Kesen,DG,First-born son of Captain Keneb and Selv
Kessgan,CG,Watered Forkrul Assail
Kettle,"MT, RG","Orphan child in Letheras, one of the Hunted"
Kholb Harat,MT,Unblooded Tiste Edur
Kig Aven,GotM,T'lan Imass Clan Leader
Kilava,"MoI, RG, DoD, CG","Renegade bonecaster of the K'ron T'lan Imass, Soletaken, sister to Onos T'oolan"
Kilmandaros,"RG, DoD, CG",Elder Goddess of Forkrul Assail
Kimloc,DG,Tanno Spiritwalker
Kindly,"HoC, BH, RG, DoD, CG","A captain in the Ashok Regiment who has a reputation for being one of the meanest men in the Malazan Army. Joins the Bonehunters after the events in Raraku, and eventually becomes a Fist in the army."
Kiska,"BH, NoK, RotCG, SW, OST",A talented girl on Malaz Isle who joins Tayschrenn's service after the ascension of Kellanved and Dancer
Kisswhere,"DoD, CG",Corporal in the Bonehunters
Knuckles,"RG, DoD, CG","Elder God, AKA Sechul Lath, Forkrul Assail, son of Kilmandaros"
Kor Thuran,DoD,K'Chain Che'Malle K'ell Hunter
Korbal Broach,MoI,"Eunuch necromancer, accomplice of Bauchelain and employer of Emancipor Reese"
Korbolo Dom,"DG, HoC, BH, RotCG",Renegade Malazan Fist leading an army of the Whirlwind
Korlat,"GotM, MoI, TH, CG",Tiste Andii assassin-mage; blood-kin to Serrat and Orfantal; Elient Soletaken
Koryk,"HoC, BH, RG, DoD, CG",Half-Seti soldier in the Bonehunters
Kron,MoI,Leader of the Kron T'lan Imass
Krughava,"BH, DoD, CG",Mortal Sword of the Perish Grey Helms
Kruppe,"GotM, MoI, TH, CG, OST","Regular at the Phoenix Inn in Darujhistan, and the spy master known as the Eel."
Krute of Talient,"GotM, TH, OST",Agent of the Assassin's Guild in Darujhistan
Kulat,BH,Villager in Seven Cities
Kulp,DG,Cadre Mage of the 7th Army
Kulpath,MoI,Pannion Septarch of the besieging army
Kuru Qan,"MT, RG",Ceda to the King of Lether
L'oric,"DG, HoC, BH",Tiste Liosan High Mage of the Whirlwind
Lady Envy,"MoI, TH","Sorceress, daughter of Draconus and Sheltatha Lore, sister of Sister Spite"
Laerdas,MT,Letherii mage in Prince Quillas Diskanar's retinue
Lanas Tog,MoI,Last of the Kerluhm T'lan Imass
Lap Twirl,"DoD, CG",Soldier in the Bonehunters
Laseen,"GotM, DG, BH, NoK","Empress of the Malazan Empire, and the former head of the Claw."
Last,DoD,Wanderer
Lazan Door,TH,Compound guard in Darujhistan; renegade Seguleh
Leff,TH,Bodyguard in Darujhistan
Legana Breed,"DG, BH",T'lan Imass warrior
Lenestro,DG,Malazan noble on the Chain of Dogs
Leoman of the Flails,"DG, HoC, BH",Leader in the Whirlwind and a bodyguard to Sha'ik
Lera Epar,"DoD, CG","T'lan Imass bonecaster, AKA Bitterspring"
Letur Anict,RG,Letherii factor in Drene
Lim,GotM,Councilman of Darujhistan
Limp,"HoC, RG, DoD, CG",Soldier in the Bonehunters
List,DG,Corporal in the 7th Army
Lobe,"HoC, RG, DoD",Soldier in the Bonehunters
Lock,TH,Hound of Light
Logros,GotM,Commander of the Logros T'lan Imass
Lookback,"RG, DoD, CG",Soldier in the Bonehunters
Lorn,GotM,Adjunct to the Empress of the Malazan Empire
Lostara Yil,"DG, HoC, BH, RG, DoD, CG",Red Blade; later captain in the Bonehunters and assistant to Tavore Paran
Lubben,"BH, NoK",Gatekeeper at Mock's Hold
Lull,DG,Captain in the Sialk marines
Lutes,"HoC, BH, RG",Soldier in the Bonehunters
Madan'tul Rada,"BH, RG",Faradan Sort's lieutenant in the Bonehunters
Madrun,TH,Compound guard in Darujhistan; renegade Seguleh
Malachar,HoC,Tiste Liosan
Mallet,"GotM, MoI, TH, DoD, CG",Squad healer in the Bridgeburners
Mallick Rel,"DG, BH",Chief Advisor to the High Fist of Seven Cities
Mammot,GotM,"High Priest of D'riss in the T'orrud Cabal, and eminent scholar in Darujhistan; uncle to Crokus"
Mape,"MT, DoD",A Nacht
Mappo Runt,"GotM, DG, HoC, BH, TH, DoD, CG",Trell companion to Icarium
Maral Eb,DoD,Barghast warchief who usurps control of the White Face Barghast after Onos Toolan's death.
Marble,MoI,Sorcerer
Masan Gilani,"BH, RG, DoD, CG",Dal Honese soldier in the Bonehunters
Masarch,RG,Awl warrior of Renfayar Clan
Master Quell,TH,Trygalle Trade Guild navigator and mage
Mathok,"HoC, BH, CG",Desert Tribes Warleader and later a member of the Host.
Matra Brith,MT,Unblooded Tiste Edur
Maybe,"HoC, BH, RG, DoD, CG",Soldier in the Bonehunters
Mayen,MT,"Tiste Edur, betrothed of Fear Sengar, later wife of Rhulad and Empress of Lether"
Mayfly,"BH, RG, DoD, CG",Soldier in the Bonehunters
Mebra,"DG, HoC","Spy who operates a large network from Ehrlitan, Seven Cities"
Meese,"GotM, TH",Proprietor the Phoenix Inn in Darujhistan
Melest,CG,Watered Forkrul Assail
Menandore (Sister Dawn),"MT, RG","Elder ascendant, Soletaken Elient, daughter of Tiam and Osserc, sister of Sukul Ankhadu and Sheltatha Lore"
Mesker Setral,DG,Red Blade and brother of Baria Setral
Messremb,DG,Soletaken
The Mhybe,MoI,"Rhivi mother of Silverfox, her title means ""the Vessel"""
Midik Buhn,MT,"Tiste Edur, second son of the Buhn bloodline"
Minala,"DG, HoC, BH, CG",Malazan refugee of the Whirlwind and sister of Selv
Mincer,DG,Sapper in the 7th Army
Moak,"HoC, BH",Sergeant in the Bonehunters
Moby,"GotM, DG","Mammot's pet familiar, in the form of a bhok'arala"
Mogora,"DG, HoC, BH, TH",D'ivers wife of Iskaral Pust. Assumes forms of spiders
