ime,opis,pojavljanje
Aranatha,"Tiste Andii survivor of Drift Avalii.
",TH
Asane,"Wanderer
",DoD
Ash,"A renegade leader of the Bridgeburners who remained loyal to Kellanved after his disappearance
",NoK
Astabb,"Assistant to Slavemaster Silgar
",HoC
Ay Estos,"Bonecaster of the K'ron T'lan Imass, Soletaken
",MoI
Azra Jael,"Malazan marine in Onearm's Host
",MoI
Ba'ienrok,"Hermit in Seven Cities, also called Keeper; later revealed to be Urko Crust
",HoC
Baaljagg,"Last of the mortal Ay, companion to Lady Envy, she carried the soul of Fanderay
","MoI, DoD, CG"
Badalle,"Child in the Snake
","DoD, CG"
Badan Gruk,"Sergeant in the Bonehunters
","RG, DoD, CG"
Badar,"Unblooded Tiste Edur
",MT
Bainisk,"Youth worker in the Darujhistan mines; friend of Harllo Younger
",TH
Bairoth Gild,"Thelomen Toblakai companion of Karsa Orlong, along with Delum Thord.
",HoC
Bakal,"Barghast warrior who tries to follow in Onos Toolan's footsteps after his death.
",DoD
Balantis,"Assistant to Slavemaster Silgar
",HoC
Baldick,"Soldier in the Bonehunters
",HoC
Balgrid,"Soldier in the Bonehunters
","RG, DoD"
Balm,"Sergeant in the Bonehunters
","HoC, BH, RG, DoD, CG"
Banaschar,"Former priest of D'rek, later attached to the Bonehunters
","BH, RG, DoD, CG"
Barack,"Liaison officer in renegade Malazan army
",MoI
Baran,"<a href=""/wiki/Hounds_of_Shadow"" class=""mw-redirect"" title=""Hounds of Shadow"">Hound of Shadow</a>
","GotM, DG, BH, TH"
Barathol Mekhar,"Former Red Blade turned blacksmith; cousin to <a href=""/w/index.php?title=Kalam_Mekhar&amp;action=edit&amp;redlink=1"" class=""new"" title=""Kalam Mekhar (page does not exist)"">Kalam Mekhar</a> and protector of Chaur
","BH, TH, OST"
Baria Setral,"Red Blade; brother to Mesker Setral
",DG
Baruk,"High <a href=""/wiki/Alchemy"" title=""Alchemy"">Alchemist</a> of Darujhistan and Mage of the T'orrud Cabal
","GotM, MoI, TH, OST"
Bauchelain,"Necromancer/summoner, accomplice of Korbal Broach and employer of Emancipor Reese
",MoI
Baudin,"Prisoner who is a companion to Felisin and Heboric; member of the Talon.
","DG, MoI"
Bavedict,"Alchemist with the Hedge's Bridgeburners
","DoD, CG"
Beak,"Mage with the Bonehunters
",RG
Bedek,"Daru; adoptive father of Harllo Younger
",TH
Bek Okhan,"Bonecaster of the K'ron T'lan Imass, Soletaken
",MoI
Belie,"Pure Forkrul Assail, lawful inquisitor
",CG
Bell,"Soldier in the Bonehunters
",HoC
Bellam Nom,"Daru youth of House Nom; trained as a duelist under Murillio
","TH, OST"
Bellig Harn,"Soldier in the Bonehunters
",RG
Bellurdan Skullcrusher,"Thelomen Toblakai High Mage of the Malazan Empire
","GotM, TH"
Ben Adaephon Delat,"Seven Cities mage in the Bridgeburners, 9th Squad; also called Quick Ben
","GotM, DG, MoI, HoC, BH, RG, DoD, Cp’"
Bendal Home,"Bonecaster of the K'ron T'lan Imass, Soletaken
",MoI
Beneth,"Crime lord in the otataral mining camp of Skullcup
",DG
Bent,"Wickan cattle-dog and survivor of the Chain of Dogs
","DG, HoC, BH,DoD, CG"
Beroke Soft Voice,"T'lan Imass, of the Unbound
","DoD, CG"
Beru,"Lord of Storms
",CG
Bidithal,"High Mage of the Whirlwind
","DG, HoC"
Binadas Sengar,"Tiste Edur; Third son of Tomad Sengar and Uruth, brother of Fear, Trull and Rhulad
",MT
Biri,"Letherii merchant
",MT
Bivatt,"Atri-Peda of Eastern Army
",RG
Blend,"Retired Bridgeburner and partner in K'rul's Bar; Picker's lover
","MoI, TH, OST"
Blind,"<a href=""/wiki/Hounds_of_Shadow"" class=""mw-redirect"" title=""Hounds of Shadow"">Hound of Shadow</a>
","GotM, DG, HoC, BH, TH"
Blistig,"Commander of the Aren Guard; later a Fist in the Bonehunters
","DG, HoC, BH, RG, DoD, CG"
Bluepearl,"Retired Napan squad mage of the Bridgeburners and a partner in K'rul's Bar
","MoI, TH"
Blues,"Corporal in the Sixth Blade and weapons master of the Crimson Guard
","GotM, RotCG, SW, BB, As"
Borduke,"Sergeant in the Bonehunters
","HoC, BH"
Bottle,"Squad mage in the Bonehunters
","HoC, BH, RG, DoD, CG"
Bowl,"Soldier in the Bonehunters
","HoC, BH, RG"
Borrug,"Assistant to Slavemaster Silgar
",HoC
Braven Tooth,"Master Sergeant in Malaz City garrison
","HoC, BH, RotCG"
Brayderal,"Child in the Snake
",DoD
Bre'neigan,"K'Chain Che'Malle J'an Sentinel
","DoD, CG"
Breath,"Wanderer
",DoD
Brethless,"Corporal in the Bonehunters; twin of Touchy
","BH, RG, DoD, CG"
Brevity,"An ex-con and captain of the Letherii islanders led by Yan Tovis
","RG, DoD, CG"
Brohl Handar,"Tiste Edur overseer in Drene
",RG
Brolos Haran,"T'lan Imass
",DoD
Brukhalian,"Mortal Sword of Fener's Reve (the Grey Swords)
",MoI
Brullyg,"Nominal ruler of Second Maiden Fort
",RG
Bruthen Trana,"Tiste Edur in Rhulad's palace
","RG, CG"
Brys Beddict,"Finadd and King's Champion, youngest of the Beddict brothers
","MT, RG, DoD, CG"
Bubryd,"Official of the Rat Catcher's Guild of Letheras
",MT
Bucklund,"Sergeant in the Bridgeburners
",MoI
Bugg,"Manservant to Tehol Beddict; later Chancellor, Ceda, and Treasurer of Letheras; AKA Mael, Elder God of the sea
","MT, RG, DoD, CG"
Buke,"Caravan guard on Genabackis
",MoI
Bula,"Innkeeper in the <a href=""/wiki/Otataral"" class=""mw-redirect"" title=""Otataral"">otataral</a> mining camp of Skullcup
",DG
Bult,"Wickan commander and Coltaine's uncle
","DG, BH, TH"
Burn,"Elder goddess of earth and former witch of the Dog Runners
</td>
<td>
</td></tr>
<tr>
<td><b>Burnt</b>
</td>
<td>Corporal in the Bonehunters
",HoC
Burnt Rope,"Soldier in the Bonehunters
","DoD, CG"
Buruk the Pale,"Letherii merchant, employer of Seren Pedac
",MT
Cafal,"White Face Barghast, first son of Humbrall Taur, brother of Hetan and Netok
","MoI, DoD"
Caladan Brood,"Ascendant and powerful warlord
","GotM, MoI, TH, OST"
Calm,"Pure Forkrul Assail, lawful inquisitor
","HoC, CG"
Calot,"Cadre Mage in Onearm's Host
",GotM
Cannig Tol,"Clan leader in the Kron T'lan Imass
",MoI
Cartographer,"Undead master of maps hitchhiking with the Trygalle Trade Guild
","TH, DoD, CG"
Chalas,"Letherii watchman
",MT
Challice D'Arle,"Daughter of Darujhistan councilman Estraysian D'Arle, later wife to Gorlas Vidikas and called Challice Vidikas
","GotM, TH"
Chase,"A garrison officer at Mock's Hold
",NoK
Chaur,"Protégé of and Companion to Barathol Mekhar, a simpleton
","BH, TH"
Chenned,"Captain in the 7th Army
",DG
Chert,"Unlucky bully in Darujhistan
",GotM
Chillbais,"Demon servant of Baruk in Darujhistan
",TH
Choram Irard,"Unblooded Tiste Edur
",MT
Circle Breaker,"Agent of The Eel in Darujhistan.
",GotM
Clasp,"Corporal in the Bonehunters
","DoD, CG"
Clip,"First Sword of Kurald Galain, claims to be Mortal Sword of Darkness
","RG, TH"
Coll,"Darujhistan drunk, later councilman
","GotM, MoI, TH"
Coltaine,"Wickan Fist of the Malazan 7th Army in Seven Cities
",DG
Coop,"Proprietor of the Hanged Man inn
","BH, NoK"
Corabb Bhilan Thenu'alas,"Formerly second in command to Leoman of the Flails, later soldier in the Bonehunters
","HoC, BH, RG, DoD, CG"
Cord,"Sergeant in the Bonehunters
","HoC, RG, DoD, CG"
Corinn,"A mage formerly in the Bridgeburners
",NoK
Corlo,"Mage in the Crimson Guard.
",MT
Cotillion,"Companion of <a href=""/wiki/Shadowthrone"" class=""mw-redirect"" title=""Shadowthrone"">Shadowthrone</a> and Patron of Assassins; also called The Rope. As a mortal he was known as Dancer, led the Talon, and founded the Malazan Empire along with Kellanved.
","GotM, DG, HoC, BH, RG, TH, CG, NoK"
Cowl,"High Mage in the Crimson Guard
",GotM
The Crippled God,"Ascendant, also called The Chained One and The One Within, his actual name is Kaminsod
","MoI, MT, RG, CG"
Crokus Younghand,"Thief in Darujhistan, also called Cutter
","GotM, DG, HoC, BH, TH"
Crone,"Great Raven and servant to <a href=""/wiki/Anomander_Rake"" class=""mw-redirect"" title=""Anomander Rake"">Anomander Rake</a>
","GotM, MoI, TH, CG"
Crump,"Soldier in the Bonehunters; also known as Jamber Bole
","BH, RG, DoD, CG"
Curdle,"Eleint ghost, trapped in Emurlahn, freed by Apsalar, twin to Telorast
","BH, RG, DoD, CG"
Cuttle,"Sapper in the Bonehunters
","DG, HoC, BH, RG, DoD, CG"
Cynnigig,"Jaghut
",HoC
D'rek,"Ascended goddess, the Worm of Autumn
","DoD, CG"
Damisk,"Assistant to Slavemaster Silgar
",HoC
Darist,"Another name for Andarist
",HoC
Dassem Ultor,"First Sword of the Malazan Empire; supposedly killed outside Y'ghatan, Seven Cities
","HoC, TH, NoK, OST"
Dathenar Fandoris,"Tiste Andii; Soletaken; Korlat's Mistress of Assassination
","DoD, CG"
Dayliss,"Thelomen Toblakai woman favoured by Karsa Urlong but who had a relationship with his friend Bairoth Gild, for who she was also pregnant.
",HoC
Deadsmell,"Corporal in the Bonehunters; a necromancer
","HoC, BH, RG, DoD, CG"
Dejim Nebrahl,"D'ivers T'rolbarahl of the First Empire
",BH
Delist,"Matron of the Temple Brothel in Letheras
",MT
Delum Thord,"Thelomen Toblakai companion of Karsa Orlong and Bairoth Gild
",HoC
Derudan,"Witch of the T'orrud Cabal in Darujhistan; uses the <a href=""/wiki/Magic_in_the_Malazan_Book_of_the_Fallen"" class=""mw-redirect"" title=""Magic in the Malazan Book of the Fallen"">warren Tennes</a>
","GotM, TH"
Desra,"Tiste Andii, companion of Nimander Golit, possibly Soletaken Elient
","TH, CG"
Dessembrae,"Dassem Ultor in his aspect of Lord of Tears
",CG
Detoran,"Soldier in the Bridgeburners, 7th squad.
",MoI
Diligence,"Pure Forkrul Assail, lawful inquisitor
",CG
Ditch,"Prisoner in Dragnipur, formerly a wizard in Pale
",TH
Doan,"<a href=""/wiki/Hounds_of_Shadow"" class=""mw-redirect"" title=""Hounds of Shadow"">Hound of Shadow</a>
",GotM
Dorin Rav,"Young assassin from Tali, later would take the name Dancer and then ascend to become Cotillion
","DL, DhL"
Draconus,"Elder God, Consort of Mother Dark, forger of Dragnipur
","MoI, TH, DoD, CG"
Drawfirst,"Soldier in the Bonehunters
","RG, DoD, CG"
Duiker,"Imperial Historian of the Malazan Empire. Following his death and resurrection at the end of the Chain of Dogs, he takes up residence in Darujhistan.
","DG, MoI, TH, OST"
Dujek Onearm,"High Fist of the Malazan Armies in the Genabackis campaign
","GotM, MoI, BH"
Dunsparrow,"Formerly captain in Y'Ghatan City Guard, later companion to Leoman of the Flails; sister of Whiskeyjack
",BH
Duryl,"Messenger of the Whirlwind
",HoC
Ebron,"Squad mage in the Bonehunters
","HoC, BH, RG, DoD, CG"
Edgewalker,"An inhabitant of Kurald Emurlahn
","BH, TH, NoK"
Eldat Pressan,"Tiste Liosan
",CG
Emancipor Reese,"Servant to Bauchelain and Korbal Broach
",MoI
Endest Silann,"A Tiste Andii mage who was around from the days of Karkhanas, and one of Anomander Rake's most trusted allies.
",TH
Enedictal,"Letherii mage
",MT
Enias,"Tiste Liosan
",HoC
Equity,"Pure Forkrul Assail, lawful inquisitor
",CG
Erekala,"Commander in Perish Grey Helms
","DoD, CG"
The Errant,"Elder God, Master of the Holds; AKA Errastas, Turudal Brizad
","MT, RG, DoD, CG"
Estraysian D'Arle,"Councilman of Darujhistan and rival of Turban Orr
","GotM, MoI, TH"
Ethume,"Corporal of the Whirlwind army
",HoC
Exigent,"Watered Forkrul Assail
",CG
Ezgara Diskanar,"King of Letheras
",MT
Faint,"Trygalle Trade Guild shareholder
","TH, DoD, CG"
Faradan Sort,"Captain (later Fist) in the Bonehunters
","BH, RG, DoD, CG"
Farakalian,"Soldier in the Grey Swords
",MoI
Faro Balkat,"A regular at the Hanged Man inn
",NoK
Fast,"Captain in the Bonehunters
",DoD
Fayelle,"Sorceress of the Whirlwind
",HoC
Fear Sengar,"Tiste Edur; First son of Tomad Sengar and Uruth, brother of Trull, Binadas and Rhulad; Weapons Master of the Tribes; later one of the Hunted
","MT, RG"
Febryl,"High Mage of the Whirlwind
","DG, HoC"
Felash,"Fourteenth Daughter of Queen Abrastal of Bolkando, Sorceress of the Elder warren of Omtose Phellack
","DoD, CG"
Felisin Paran,"Malazan noble-born; younger sister of Ganoes and Tavore Paran. She later takes up the mantle of Sha'ik Reborn.
","GotM, DG, HoC"
Felisin Younger,"Adopted daughter of Sha'ik Reborn, later refugee from Raraku
","HoC, BH"
Feather Witch,"Letherii slave to Uruth
","MT, BH, RG, DoD"
Ferrule,"A member of Dassem Ultor's bodyguard
",NoK
Festian,"Watered Forkrul Assail
",CG
Fiddler,"A sapper in the Bridgeburners and a close friend of Whiskeyjack,
","GotM, DG, HoC, BH, RG, DoD, CG"
Fingers,"Soldier in the Sixth Blade of the Crimson Guard
",GotM
Fisher,"An immortal bard, also known as Fisher Kel Tath
","TH, OST"
Fisherman,"A mage on Malaz Isle
",NoK
Flashwit,"Soldier in the Bonehunters
","HoC, RG, DoD, CG"
Freedom,"Pure Forkrul Assail, lawful inquisitor
",CG
Futhgar,"Corporal in Onearm's Host
",BH
Gaelar Throe,"Tiste Liosan
",CG
Gall,"Warleader of the Khundryl Burned Tears
","DG, HoC, BH, DoD, CG"
Galt,"Soldier in the Bonehunters
","HoC, RG, DoD"
Gamet,"Guard for the House of Paran, later Fist in the Bonehunters
","GotM, HoC"
Ganath,"Jaghut mage
",BH
Ganoes Stabro Paran,"Noble-born officer in the Malazan Empire; of the House of Paran, Master of the Deck of Dragons
","GotM, MoI, BH, TH, CG"
Ganrod,"<a href=""/wiki/Hounds_of_Shadow"" class=""mw-redirect"" title=""Hounds of Shadow"">Hound of Shadow</a>
",GotM
Garath,"Large dog, companion to Lady Envy
",MoI
Gaunt-Eye,"Sergeant in the Bonehunters
","DoD, CG"
Gaz,"Killer in Darujhistan, Soldier of Death, husband of Thordy
",TH
Gear,"<a href=""/wiki/Hounds_of_Shadow"" class=""mw-redirect"" title=""Hounds of Shadow"">Hound of Shadow</a>
","GotM, DG, TH"
Gerun Eberict,"Finadd in Letherii Royal Guard
",MT
Gesler,"Corporal in the Malazan Coastal Guard, later sergeant in Bonehunters
","DG, HoC, BH, RG, DoD, CG"
Gethol,"Formerly Herald of Hood, now Herald to the House of Chains, brother to Gothos
","MoI, BH"
Glanno Tarp,"Trygalle Trade Guild shareholder
",TH
Glisten,"Official of the Rat Catcher's Guild of Letheras
",MT
Gorlas Vidikas,"Darujhistan councilman and husband to Challice D'Arle
","GotM, TH"
Gothos,"Jaghut mage, father of Icarium, brother of Gethol, author of <i>Gothos' Folly</i>
","DG, MT, RG, TH"
Gradithan,"Worshipper of the Crippled God
",TH
Grave,"Pure Forkrul Assail, lawful inquisitor
",CG
Green Pig,"Infamous mage of old in Letheras
",MT
Greyfrog,"Demon
","HoC, BH"
Grub,"Orphan from the Chain of Dogs; adopted by Keneb; companion to Sinn
","DG, HoC, BH, RG, DoD, CG"
Gruntle,"Caravan guard on Genabackis; later Mortal Sword of Treach
","MoI, BH, TH, DoD, CG"
Gryllen,"<a href=""/wiki/Malazan_Book_of_the_Fallen#Soletaken_and_D&#39;ivers"" title=""Malazan Book of the Fallen"">D'ivers</a>, assumes form of horde of rats. Also called Tide of Madness
",DG
Gu'Rull,"K'Chain Che'Malle Shi'Gal Assassin
","DoD, CG"
Gullstream,"Soldier in the Bonehunters
","HoC, RG, DoD"
Gumble,"Ormulogun's critic, has the form of a frog
","MoI, BH, CG"
Gunth Mach,"K'Chain Che'Malle One Daughter, onetime bodyguard to Redmask
","RG, DoD, CG"
Gunth'an Acyl,"K'Chain Che'Malle matron
",DoD
Hadralt,"Awl warchief of Ganetok Clan
",RG
Haggraf,"Watered Forkrul Assail
",CG
Hairlock,"Cadre Mage in Onearm's Host
",GotM
Thalad the Giant,"T'lan Imass
","DoD, CG"
Halfpeck,"Avowed in the Crimson Guard
",MT
Hanako,"A young Thel Akai
",FoL
Handmaiden,"Servant to Felash
","DoD, CG"
Hanut Orr,"Councilman in Darujhistan, Turban Orr's nephew
",TH
Hanavat,"Member of the Khundryl Burned Tears; wife of Warleader Gall
","DoD, CG"
Hannan Mosag,"Tiste Edur, Warlock King of the Six Tribes, later Ceda of the Empire of Lether
","MT, RG"
Hanno,"Soldier in the Bonehunters
",RG
Hanradi Khalag,"Tiste Edur warlock
","MT, BH, RG"
Haradas,"Trygalle Trade Guild caravan master
",MoI
Hareb,"Noble born officer in Onearm's Host
",MoI
Harlest,"Letherii guard
",MT
Harllo,"Caravan guard on Genabackis
",MoI
Harllo (Younger),"Child in Darujistan; son of Stonny Menackis and a Seerdomin who raped her; named after the caravan guard
",TH
Hattar,"Bodyguard to Tayschrenn
","BH, NoK"
Hayrith,"Villager in Seven Cities
",BH
Heboric Light Touch,"Exiled Malazan historian and ex-priest of Fener; later Destriant of Treach; also known as 'Heboric Ghost Hands'
","DG, HoC, BH, DoD, CG"
Hedge,"Sapper in the Bridgeburners, later a ghost named Dead Hedge
","GotM, MoI, HoC, BH, RG, DoD, CG"
Hejun,"Letherii employee of Tehol Beddict
",MT
Held,"Child in the Snake
","DoD, CG"
Hellian,"Sergeant in the Bonehunters
","BH, RG, DoD, CG"
Henar Vygulf,"Letharii outrider
","DoD, CG"
Henarist,"Sorceress of the Whirlwind
",HoC
Hentos Ilm,"T'lan Imass Bonecaster
",DG
Hestand,"Watered Forkrul Assail
",CG
Hetan,"White Face Barghast, daughter of Humbrall Taur, sister to Cafal and Netok, mother to twins Stavi &amp; Storii (fathered by Kruppe), mother of Absi (fathered by Onos T'oolan), wife of Onos T'oolan
","MoI, RG, DoD, CG"
Honey,"Soldier in the Bonehunters
","RG, DoD, CG"
Hood,"God of Death and King of High House Death; originally a Jaghut
","MoI, BH, RG, TH, DoD, CG"
Horult,"Tiste Andii assassin-mage
",GotM
Hostille Rator,"T'lan Imass bonecaster
",RG
Hulad,"Letherii slave among the Tiste Edur
",MT
Huldo,"Letherii restaurant proprietor
",MT
Hulbat,"Letherii citizen
",MT
Hull Beddict,"Letherii Sentinel in the north, eldest of the Beddict brothers
",MT
Humble Measure,"Ironmonger in Darujhistan
","TH, OST"
Humbrall Taur,"Warchief of the White Face Barghast, father of Hetan, Cafal and Netok
",MoI
Hunt,"Soldier in the Bonehunters
","RG, DoD"
Hurlochel,"Formerly in Caladan Brood's army, now a member of Onearm's Host
","MoI, BH, CG"
Ibb,"Soldier in the Bonehunters
",HoC
Ibra Gholan,"Logros T'lan Imass clanleader
","HoC, BH"
Icarium,"Jhag who builds machines to measure time
","GotM, DG, HoC, BH, RG, DoD, CG"
Ilm Absinos,"T'lan Imass
",DoD
Imrahl,"Warrior of the Khundryl Burned Tears
",HoC
Imroth,"A broken T'lan Imass
",RG
Inal,"Pannion Septarch of Lest
",MoI
Inchers,"Letherii citizen
",MT
Inistal Ovan,"T'lan Imass
",DoD
Iparth Erule,"Tiste Liosan
",CG
Ipshank,"Malazan, ex-priest of Fener in the lands of Fist
",SW
Irilta,"Regular at the Phoenix Inn in Darujhistan
","GotM, TH"
Iron Bars,"Avowed in the Crimson Guard.
","MT, SW"
Irp,"Familiar of High Alchemist Baruk
",DG
Iskaral Pust,"High Priest of Shadow and Magi of <a href=""/wiki/High_House_Shadow"" class=""mw-redirect"" title=""High House Shadow"">High House Shadow</a>
","DG, HoC, BH, TH"
Itkovian,"Shield Anvil of Fener. Later, ascendant worshipped in the cult of the Redeemer
",MoI
Janall,"Queen of Letheras, later Queen of Chains
","MT, RG"
Janath Anar,"Letherii scholar and political prisoner; later Queen of Letheras and wife of King Tehol
","RG, DoD"
Jarabb,"Warrior of the Khundryl Burned Tears
",DoD
Jastara,"Member of the Khundryl Burnt Tears
","Dod, CG"
Jerlarkan,"Prince and ruler of Capustan
",MoI
Jhedel,"An inhabitant of the Shadow Realm
",NoK
Jhenna,"Jaghut guardian of the Deadhouse
",NoK
Jhess,"Queen of Weaving
",CG
Jibb,"Soldier in the Bonehunters
","HoC, RG"
Job Bole,"Mott Irregular
",MoI
Jorrick Sharplance,"Crimson Guard officer
",GotM
Jorrude,"Tiste Liosan Senschal
",HoC
Jula Bole,"Retired Mott Irregular and Trygalle Trade Guild shareholder
","TH, DoD"
K'azz D'Avore,"Prince and Commander of the Crimson Guard
","GotM, RotCG, BB, As"
K'rul,"Elder God, the Maker of Paths
","GotM, MoI, TH, CG, OST"
Kadagar Fant,"Tiste Liosan (Soletaken Elient) Son of Light
",CG
Kadaspala,"Tiste Andii prisoner in Dragnipur
",TH
Kalb the Silent Hunter,"T'lan Imass
","DoD, CG"
Kahlt,"Pannion Seerdomin
",MoI
Kalam Mekhar,"Corporal of the 9th Squad of the Bridgeburners; ex-Claw
","GotM, DG, HoC, BH, CG"
Kallor,"High King; second-in-command of Caladan Brood's forces; immortal from the time of the Fall of the Crippled God, cursed never to ascend
","GotM, MoI, TH, RotCG"
Kalt Urmanal,"T'lan Imass
","DoD, CG"
Kalyth,"Elan; Destriant to the matron Gunth'an Acyl of the K'Chain Che'Malle
","DoD, CG"
Kamist Reloe,"Renegade Malazan High Mage, now a mage of the Whirlwind
","DG, HoC"
Karnadas,"Destriant of Fener's Reve (the Grey Swords)
",MoI
Karos Invictad,"Invigilator of the Patriotists in Letheras
",RG
Karpolan Demesand,"High Mage for the Trygalle Trade Guild
","DG, BH"
Karsa Orlong,"Thelomen Toblakai warrior from Northern Genabackis, sometimes called Toblakai.
","DG, HoC, BH, RG, TH, CG, OST"
Kasanal,"Assassin hired by Korbolo Dom
",HoC
Kedeviss,"Tiste Andii, companion of Nimander Golit
",TH
Keneb,"Malazan captain in Seven Cities; later a Fist in the Bonehunters
","DG, HoC, BH, RG, DoD"
Kerul,"Trader, later revealed to be the Elder God K'rull
",MoI
Kesen,"First-born son of Captain Keneb and Selv
",DG
Kessgan,"Watered Forkrul Assail
",CG
Kettle,"Orphan child in Letheras, one of the Hunted
","MT, RG"
Kholb Harat,"Unblooded Tiste Edur
",MT
Kig Aven,"T'lan Imass Clan Leader
",GotM
Kilava,"Renegade bonecaster of the K'ron T'lan Imass, Soletaken, sister to Onos T'oolan
","MoI, RG, DoD, CG"
Kilmandaros,"Elder Goddess of Forkrul Assail
","RG, DoD, CG"
Kimloc,"Tanno Spiritwalker
",DG
Kindly,"A captain in the Ashok Regiment who has a reputation for being one of the meanest men in the Malazan Army. Joins the Bonehunters after the events in Raraku, and eventually becomes a Fist in the army.
","HoC, BH, RG, DoD, CG"
Kiska,"A talented girl on Malaz Isle who joins Tayschrenn's service after the ascension of Kellanved and Dancer
","BH, NoK, RotCG, SW, OST"
Kisswhere,"Corporal in the Bonehunters
","DoD, CG"
Knuckles,"Elder God, AKA Sechul Lath, Forkrul Assail, son of Kilmandaros
","RG, DoD, CG"
Kor Thuran,"K'Chain Che'Malle K'ell Hunter
",DoD
Korbal Broach,"Eunuch necromancer, accomplice of Bauchelain and employer of Emancipor Reese
",MoI
Korbolo Dom,"Renegade Malazan Fist leading an army of the Whirlwind
","DG, HoC, BH, RotCG"
Korlat,"Tiste Andii assassin-mage; blood-kin to Serrat and Orfantal; Elient Soletaken
","GotM, MoI, TH, CG"
Koryk,"Half-Seti soldier in the Bonehunters
","HoC, BH, RG, DoD, CG"
Kron,"Leader of the Kron T'lan Imass
",MoI
Krughava,"Mortal Sword of the Perish Grey Helms
","BH, DoD, CG"
Kruppe,"Regular at the Phoenix Inn in Darujhistan, and the spy master known as the Eel.
","GotM, MoI, TH, CG, OST"
Krute of Talient,"Agent of the Assassin's Guild in Darujhistan
","GotM, TH, OST"
Kulat,"Villager in Seven Cities
",BH
Kulp,"Cadre Mage of the 7th Army
",DG
Kulpath,"Pannion Septarch of the besieging army
",MoI
Kuru Qan,"Ceda to the King of Lether
","MT, RG"
L'oric,"Tiste Liosan High Mage of the Whirlwind
","DG, HoC, BH"
Lady Envy,"Sorceress, daughter of Draconus and Sheltatha Lore, sister of Sister Spite
","MoI, TH"
Laerdas,"Letherii mage in Prince Quillas Diskanar's retinue
",MT
Lanas Tog,"Last of the Kerluhm T'lan Imass
",MoI
Lap Twirl,"Soldier in the Bonehunters
","DoD, CG"
Laseen,"Empress of the Malazan Empire, and the former head of the Claw.
","GotM, DG, BH, NoK"
Last,"Wanderer
",DoD
Lazan Door,"Compound guard in Darujhistan; renegade Seguleh
",TH
Leff,"Bodyguard in Darujhistan
",TH
Legana Breed,"T'lan Imass warrior
","DG, BH"
Lenestro,"Malazan noble on the Chain of Dogs
",DG
Leoman of the Flails,"Leader in the Whirlwind and a bodyguard to Sha'ik
","DG, HoC, BH"
